company,source,normalized,reason
Apple,Samsung (smartphone),Samsung,canonical_base
Apple,Xiaomi(smartphone),Xiaomi,fallback_clean
Apple,Huawei(smartphone),Huawei,fallback_clean
Apple,Dell(PC),Dell,fallback_clean
Apple,Lenovo(PC),Lenovo,canonical_base
Apple,HP(PC),HP,fallback_clean
Apple,Spotify (Entertainment),Spotify,fallback_clean
Apple,Netflix(Entertainment),Netflix,fallback_clean
Apple,Amazon(Entertainment),Amazon,canonical_base
SpaceX,AWS(AWS),AWS,alias_raw
SpaceX,Microsoft Azure,Microsoft,alias_raw
AWS,Microsoft Azure,Microsoft,alias_raw
AMD,Alphabet(TPU),Google,alphabet_to_google
ByteDance,YouTube,Google,alias_raw
Oracle,Microsoft Azure,Microsoft,alias_raw
YouTube,Instagram,Meta,alias_raw
Adobe,OpenAI(Sora),OpenAI,alias_base
Adobe,Rephrase.ai(2023),Rephrase.ai,canonical_base
IBM,OpenIA,OpenAI,alias_raw
Databricks,Google Cloud(BigQuery),Google Cloud,google_cloud_hint
Databricks,Microsoft Azure,Microsoft,alias_raw
Salesforce,Microsoft (Dynamics 365),Microsoft,canonical_base
Salesforce,Oracle (CX Cloud),Oracle,canonical_base
Salesforce,SAP (Customer Experience),SAP,canonical_base
OpenAI,Llama,Meta,alias_raw
Snowflake,Amazon(Redshift),Amazon,canonical_base
Cambricon Technologies,Alibaba Group (T-Head),Alibaba Group,fallback_clean
Cloudflare,Amazon(AWS Shield),Amazon,canonical_base
Cloudflare,Microsoft(Azure),Microsoft,alias_raw
DeepSeek,Moonshot AI (Kimi),Moonshot AI,canonical_base
Anysphere,Google(Antigravity),DeepMind,google_deepmind_hint
Anysphere,Microsoft(GitHub Copilot),Microsoft,canonical_base
Anysphere,Anthropic(Claude Code),Anthropic,canonical_base
Anysphere,Meta(Muse),Meta,canonical_base
Figure AI,Tesla (Optimus),Tesla,canonical_base
Figure AI,Boston Dynamics (Atlas),Boston Dynamics,canonical_base
Figure AI,Agility Robotics (Digit),Agility Robotics,fallback_clean
Cognition AI,GitHub,Microsoft,alias_raw
Perplexity,OpenAI(Chatgpt),OpenAI,alias_base
Perplexity,Deepmind(Gemini),DeepMind,alias_base
Perplexity,Microsoft(Copilot),Microsoft,canonical_base
Perplexity,Anthropic(Claude),Anthropic,canonical_base
Boston Dynamics,Tesla(Optimus),Tesla,canonical_base
Anthropic,Alibaba(Qwen),Alibaba,canonical_base
Cerebras,Microsoft(Azure),Microsoft,alias_raw
Kling AI,OpenAI(Sora),OpenAI,alias_base
Kling AI,Deepmind(Veo),DeepMind,alias_base
Kling AI,BytesDance(Seedance),BytesDance,fallback_clean
Langfuse,WandB Prompts (Weights & Biases),WandB Prompts,fallback_clean
Nscale,Lambda Labs (Lambda),Lambda Labs,fallback_clean
Nscale,Nebius Group (Nebius),Nebius Group,fallback_clean
Celonis,SAP(Signavio),SAP,canonical_base
Celonis,Microsoft( Power Automate),Microsoft,canonical_base
Celonis,IBM (Process Mining),IBM,canonical_base
Celonis,Software AG(ARIS),Software AG,fallback_clean
Harvey,CoCounsel(Thomson Reuters),CoCounsel,fallback_clean
Harvey,Lexis+ AI / Protégé(LexisNexis),Lexis+ AI / Protégé,fallback_clean
"Midjourney, Inc.",OpenAI(DAall-e),OpenAI,alias_base
"Midjourney, Inc.",Adobe(firefly),Adobe,canonical_base
1X Technologies,Tesla(Optimus),Tesla,canonical_base
Cognition,Anysphere(Cursor),Anysphere,canonical_base
Cognition,Anthropic(Claude),Anthropic,canonical_base
Cognition,Githbub(Copilot),Githbub,fallback_clean
Tempus AI,Roche (Flatiron Health ),Roche,fallback_clean
Glean Technologies,Microsoft Azure,Microsoft,alias_raw
SentinelOne,Microsoft(Defender),Microsoft,canonical_base
UiPath,Microsoft( Power Automate),Microsoft,canonical_base
ContentSquare,Microsoft Azure(Microsoft Clarity),Microsoft,alias_base
Runway,OpenAI(Sora),OpenAI,alias_base
Runway,Adobe(Firefly),Adobe,canonical_base
Abridge,Microsoft(Nuance DAX Copilot),Microsoft,canonical_base
Hugging Face,Microsoft(Github Models),Microsoft,canonical_base
Synthesia,OpenAI(Sora),OpenAI,alias_base
