input_name,name_official,db_id,db_match,action,duplicate_ids,duplicate_action,duplicate_notes,website,logo_url,country,headquarter_city,founded_year,sector,organization_type,company_status,capitalization,funds_raised,revenue_millions,profit_millions,employees_count,community_size,community_unit,main_investors,main_competitors,main_acquisitions,strategic_partnerships,key_resources,founders,description,sources,confidence_notes
Epic Systems,Epic Systems Corporation,2326,existing:2326,enrich,,none,No name duplicate. False positives like Depict.ai ignored (substring 'epic'). Never acquired companies (Faulkner/CNBC/Acquired.fm).,https://www.epic.com,https://www.google.com/s2/favicons?sz=128&domain=epic.com,United States,Verona,1979,"HealthTech, Document AI",Private company,Active,18140.0,,5700.0,,14000,191000000,MyChart unique users,,"Oracle Health, MEDITECH, athenahealth, Allscripts, IBM, McKesson",,Microsoft,"Chronicles EHR, Hyperspace, MyChart, Care Everywhere, Cosmos",Judith Faulkner,"Epic Systems Corporation was founded in 1979 in Madison, Wisconsin, by Judith Faulkner, who remains founder and CEO. The company began as Human Services Computing after Faulkner built a patient-information system during graduate work with Dr. Warner Slack; it later moved its campus to Verona, Wisconsin, in 2005. Epic has never taken venture capital and has not gone public; CNBC reported in August 2025 that Faulkner owned about 43 percent of the company and that Forbes estimated her net worth at USD 7.8 billion.
Epic develops large-scale electronic health record software used by health systems. Wikipedia reports that more than 325 million patients have a record in Epic and that it is the largest EHR vendor by U.S. market share; products include Hyperspace, MyChart, Care Everywhere and analytics tools (Cogito, Cosmos). Customers include Kaiser Permanente, Mayo Clinic, Johns Hopkins and Cleveland Clinic.
The company sells proprietary EHR licenses, implementation and hosting services directly to hospitals and health systems. CNBC (August 2025) cited about USD 5.7 billion of annual revenue; Wikipedia lists USD 4.6 billion for 2022. Employee counts cited in 2025-2026 coverage range from about 13,000 (Wikipedia 2023) to about 14,000 (CNBC; IB Madison UGM 2026).
Provenance: class HealthTech enrichment, September 2026.",https://en.wikipedia.org/wiki/Epic_Systems | https://www.cnbc.com/2025/08/16/how-epics-82-year-old-ceo-judy-faulkner-built-her-software-factory.html | https://www.epic.com | https://ibmadison.com/ugm-2026-epic-ai-setting-the-tone/ | https://www.fiercehealthcare.com/health-tech/epic-unveils-major-ai-features-ai-charting-microsoft-cosmos-ai-risk-prediction-and-rcm | https://www.cnbc.com/2025/08/20/epic-ugm-2025-epic-touts-new-ai-tools.html | https://www.acquired.fm/episodes/epic-systems-mychart,"Capitalization 18140 = implied from CNBC/Forbes (Faulkner USD 7.8B at 43 percent ownership); existing DB value 35000 is not used because no primary source was found for that figure. Revenue: 5700 from CNBC/LinkedIn 2025; Wikipedia still shows 4600 (2022). Employees 14000 from CNBC 2025; Wikipedia 13000 (2023). funds_raised left empty: Epic does not raise VC (CNBC). LinkedIn aggregator listed a USD 40M PE round in 2024 — not confirmed on epic.com, so omitted. | MyChart unique users 191 million from Acquired.fm research episode. CNBC Aug 2025: ~280 million Americans on Epic software; Microsoft partnership for ambient AI charting (Dragon). Zero acquisitions confirmed by Faulkner coverage."
Abridge,Abridge,1917,existing:1917,enrich,,none,Single match id 1917. No accent/case variant.,https://www.abridge.com,https://www.google.com/s2/favicons?sz=128&domain=abridge.com,United States,Pittsburgh,2018,"HealthTech, AI model",Private company,Active,5300.0,778,117.0,,657,150,enterprise health systems,"Andreessen Horowitz, Elad Gil, IVP, Bessemer Venture Partners, Lightspeed Venture Partners, CapitalG, NVentures, CVS Health Ventures, Redpoint Ventures, Spark Capital, SV Angel, Kaiser Permanente Ventures","Ambience Healthcare, Microsoft, Nabla, Suki AI, Heidi Health",,"Nvidia, Eli Lilly, Kaiser Permanente","ambient clinical documentation, contextual reasoning engine, EHR integrations","Shivdev Rao, Florian Metze, Sandeep Konam, Zachary Lipton","Abridge was founded in 2018 to convert clinical conversations into documentation at the point of care. Fortune (February 2025) identifies founder Shivdev Rao as a practicing cardiologist and the company as Pittsburgh-based. On 17 February 2025 Abridge announced a USD 250 million Series D co-led by Elad Gil and IVP, at a USD 2.75 billion post-money valuation, with more than 100 U.S. health-system deployments including Kaiser Permanente. Fierce Healthcare reported a USD 300 million Series E in June 2025 led by Andreessen Horowitz at a USD 5.3 billion valuation.
Abridge is a generative AI platform for clinical conversations: it produces clinically useful and billable notes, supports 28+ languages and 50+ specialties, and integrates with EHRs. The Series D press release also described a contextual reasoning engine aimed at incomplete notes that delay billing.
The company sells an enterprise platform to health systems. Existing DB revenue of USD 117 million is retained; Sacra and secondary blogs cite USD 100 million-plus ARR around 2026 but are aggregators.
Provenance: class HealthTech enrichment, September 2026.",https://www.abridge.com/press-release/series-d | https://fortune.com/2025/02/17/exclusive-abridge-raises-250-million-series-d-led-by-elad-gil-and-ivp/ | https://www.fiercehealthcare.com/ai-and-machine-learning/abridge-scores-250m-series-d-ambient-ai-tech-now-use-100-health-systems | https://sacra.com/c/abridge/ | https://www.abridge.com/blog/series-e | https://www.abridge.com/about | https://tracxn.com/d/companies/abridge-inc/__Pa9JE2faVUirY8e07Tb0M33vLUKKRf0BPr2xbtBzrq8,"HQ: Fortune and Fierce say Pittsburgh; existing DB had Philadelphie — Pittsburgh retained from 2025 press. funds_raised 800 matches existing DB (already includes large 2025 rounds). Sacra reports a further USD 316 million Series E extension in April 2026 — not found on abridge.com, so not added. employees_count left empty (aggregator ranges 500-640, not confirmed). revenue_millions 117 kept from DB, not independently re-verified. | Official Series E 23 Jun 2025: USD 300M led by a16z + Khosla; 150+ health systems. Tracxn Jul 2026: 657 employees, USD 778M raised (replaces prior 800 DB estimate). Founders from Tracxn/Contrary: Rao, Metze, Konam, Lipton."
Doctolib,Doctolib,1919,existing:1919,enrich,,none,"Exact match only id 1919 (Doctolib GmbH normalizes to same key — it is the German subsidiary, not a separate enterprise row).",https://www.doctolib.com,https://www.google.com/s2/favicons?sz=128&domain=doctolib.com,France,Levallois-Perret,2013,"HealthTech, AI model",Private company,Active,4140.0,842.0,422.0,,2646,80000000,patients,"General Atlantic, Eurazeo, Accel, Bpifrance, ATHOS KG, A.P. Moller Holding, Generation Investment Management","Docplanner, Maiia, Zocdoc, Nabla, Heidi Health, Tandem Health","MonDocteur (2018), Dottori.it (2021), Tanker (2022), Siilo (2023), Typeless (2024), Aaron.ai, Medicus Health (2026)",Adyen,"appointment marketplace, practice software, Doctolib Consultation Assistant (Typeless ASR)","Stanislas Niox-Chateau, Ivan Schneider, Jessy Bernal, Thomas Landais, Franck Tetzlaff, Steve Abou Rjeily, Simon Krüger","Doctolib was founded in 2013 by Stanislas Niox-Chateau, who remains CEO. The company is headquartered in Levallois-Perret, France, and operates appointment booking and practice software for clinicians in Europe. It became a European e-health unicorn after a 2019 General Atlantic-led round and a large 2022 raise (Eurazeo, Bpifrance, General Atlantic) that Bloomberg later cited at EUR 5.8 billion. On 2 April 2026 Bloomberg reported a EUR 300 million secondary share sale that valued Doctolib at EUR 3.6 billion, with new buyers including ATHOS KG, A.P. Moller Holding and Generation Investment Management.
Doctolib provides patient appointment booking (free for patients) and paid software for doctors covering scheduling, telemedicine and administrative workflows. Coverage of the 2026 secondary sale said doctors pay a monthly subscription starting at EUR 139, with a full suite up to about EUR 500 per month.
The same reports said Doctolib reached EUR 422 million of annual recurring revenue in the prior year. Employee figures in 2026 sources cluster around 2,600-3,500 (LinkedIn vs Tracxn vs secondary-sale coverage); 3500 is used as the round figure from the 2026 secondary-sale write-ups.
Provenance: class HealthTech enrichment, September 2026.",https://www.bloomberg.com/news/articles/2026-04-02/startup-doctolib-s-valuation-slides-38-in-secondary-share-sale | https://www.doctolib.com | https://linkedin.com/company/doctolib | https://tracxn.com/d/companies/doctolib/__M_uiG37jOZ0IGtDRMZ9THDlEvRw3oR-VjHFbw5s3Bug | https://dealroom.co/companies/doctolib/ | https://tracxn.com/d/acquisitions/acquisitions-by-doctolib/__M_uiG37jOZ0IGtDRMZ9THDlEvRw3oR-VjHFbw5s3Bug,"capitalization 4140 = EUR 3.6B at ~1.15 USD/EUR from Bloomberg's own EUR 300M = USD 345M conversion. Existing DB stored 3600 (likely euros labeled as USD). funds_raised 842 from the LinkedIn/Bloomberg-derived total (~USD 841.51M); Tracxn says USD 866M. founded_year 2013 confirmed. Website prefer doctolib.com over doctolib.fr. employees 3500 is a 2026 press approximation, not a filing. | LinkedIn 2026 headcount 2646 (replaces 3500 press round-number). ~80M patients / 900k professionals in secondary strategy write-up. Acquisitions from LinkedIn/Tracxn; Medicus Health May 2026 is aggregator-dated."
Aidoc,Aidoc Medical Ltd.,103,existing:103,enrich,,none,Single match id 103. AI-BOB and Aiden are unrelated (edit-distance noise).,https://www.aidoc.com,https://www.google.com/s2/favicons?sz=128&domain=aidoc.com,Israel,Tel Aviv,2016,"MedTech, Computer Vision",Private company,Active,1400.0,500.0,80.0,,596,2000,hospitals,"Goldman Sachs Alternatives, General Catalyst, SoftBank Vision Fund 2, NVentures, Square Peg Capital, TCV, Magma Venture Partners, TLV Partners","Viz.ai, Qure.ai, HeartFlow, Lunit, Harrison.ai",,"Amazon Web Services, Imbio, Hartford HealthCare, Mercy, Sutter Health, WellSpan Health","CARE foundation model, aiOS, FDA-cleared imaging triage","Elad Walach, Michael Braginsky, Guy Reiner","Aidoc was founded in 2016 by Elad Walach (CEO), Michael Braginsky and Guy Reiner, all graduates of the Israeli army Talpiot program. The company develops clinical AI for medical imaging and care workflows. On 29 April 2026 Aidoc announced a USD 150 million Series E led by Growth Equity at Goldman Sachs Alternatives, with General Catalyst, SoftBank Vision Fund 2 and NVentures, bringing total funding to over USD 500 million. A July 2025 growth package led by General Catalyst and Square Peg had already taken disclosed totals to about USD 370 million.
Aidoc sells CARE, a clinical foundation model, and aiOS, an enterprise layer to deploy multiple FDA-cleared tools. The April 2026 press release said the technology analyzes more than 60 million patient cases a year and is deployed in nearly 2,000 hospitals (the same page also cites 110 million historical cases and about 70 million patients per year).
Go-to-market is enterprise sales to hospitals and health systems. Series E valuation was not disclosed. Existing DB capitalization of USD 1,400 million is retained as an unverified estimate. Tracxn listed about 596 employees as of June 2026.
Provenance: class HealthTech enrichment, September 2026.",https://www.aidoc.com/about/news/aidoc-raises-150-million-series-e-led-by-goldman-sachs-to-scale-clinical-ai-for-earlier-safer-diagnoses/ | https://www.calcalistech.com/ctechnews/article/by2ox4yczx | https://tracxn.com/d/companies/aidoc/__F9o_MBQRIVzi3Uks__m5o7GEga_ZX1xzLBVF06LUKaA | https://www.prnewswire.com/news-releases/aidoc-announces-collaboration-with-aws-to-advance-clinical-ai-foundation-models-transforming-healthcare-at-scale-302355665.html | https://www.aidoc.com/about/news/aidoc-imbio-partnership-detection-pe/,"Official total funding is 'over USD 500 million'; 500 used as a conservative floor (existing DB 534 from Tracxn). capitalization 1400 is the existing DB figure — Aidoc did not disclose Series E valuation. HQ: company history is Israeli (Tel Aviv); Tracxn lists New York as HQ — Tel Aviv retained as operating origin, with NY as U.S. presence. employees 596 is Tracxn June 2026, not a company filing. | AWS multiyear collaboration Jan 2025. Imbio is a product partnership, not an Aidoc acquisition (Imbio was bought by 4DMedical). Official deploy figure ~2000 hospitals. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, MedTech."
Ambience Healthcare,Ambience Healthcare,2211,existing:2211; duplicate_of_name:Ambiance Healthcare:1918,enrich,1918,merge_into_2211,"TRUE DUPLICATE: id 1918 'Ambiance Healthcare' (typo, website ambiancehealthcare.com) vs id 2211 'Ambience Healthcare'. Same San Francisco 2020 firm (Mike Ng, Nikhil Buduma). Keep 2211 as canonical; do not create a third row. 1918 has website+logo; 2211 has employees 250 and funds 345.",https://www.ambiencehealthcare.com,https://www.google.com/s2/favicons?sz=128&domain=ambiencehealthcare.com,United States,San Francisco,2020,"HealthTech, AI model",Private company,Active,1250.0,345.0,65.0,,250,,,"Oak HC/FT, Andreessen Horowitz, OpenAI Startup Fund, Kleiner Perkins, Optum Ventures, Frist Cressey Ventures, Town Hall Ventures, Smash Capital, Georgian, Founders Circle Capital","Abridge, Microsoft, Nabla, Suki AI, Heidi Health, Epic Systems",,"Epic, Oracle Health, athenahealth, Cleveland Clinic","ambient documentation, coding-aware notes, CDI","Mike Ng, Nikhil Buduma","Ambience Healthcare was founded in 2020 in San Francisco by Mike Ng (CEO) and Nikhil Buduma (chief scientist). On 29 July 2025 the company announced a USD 243 million Series C co-led by Oak HC/FT and Andreessen Horowitz, with OpenAI Startup Fund, Kleiner Perkins and Optum Ventures among existing backers. Fierce Healthcare and MedCity News reported a USD 1.25 billion valuation and about USD 345 million raised to date (including a USD 70 million Series B in February 2024).
Ambience sells an ambient AI platform for clinical documentation, coding and clinical documentation integrity, covering 100+ specialties and integrating with Epic, Oracle Cerner and athenahealth. The company cites health-system deployments in outpatient, emergency and inpatient settings.
Revenue in the existing DB (USD 65 million) is retained and not independently re-verified. The existing DB also contains a near-duplicate row named 'Ambiance Healthcare' (id 1918) with a misspelled website; canonical name is Ambience Healthcare.
Provenance: class HealthTech enrichment, September 2026.",https://www.ambiencehealthcare.com/blog/ambience-healthcare-announces-243-million-series-c-to-scale-its-ai-platform-for-health-systems | https://www.fiercehealthcare.com/health-tech/ambience-banks-243m-series-c-investors-continue-bet-big-ambient-ai | https://medcitynews.com/2025/07/healthcare-documentation-startup-unicorn/,"DO NOT create a new firm. Merge/alias 'Ambiance Healthcare' (id 1918) into this record; 1918 website ambiancehealthcare.com is a typo. capitalization 1250 and funds_raised 345 from July 2025 Series C coverage. employees 250 kept from existing id 2211. | EHR integrations named on Series C page: Epic, Oracle Cerner, athenahealth. Canonical spelling is Ambience (with e)."
DentalMonitoring,DentalMonitoring,35,existing:35,enrich,,none,Single match id 35. 'Dental Monitoring' spaced form not present.,https://www.dentalmonitoring.com,https://www.google.com/s2/favicons?sz=128&domain=dentalmonitoring.com,France,Paris,2014,"MedTech, AI model",Private company,Active,1200.0,370.0,20.0,,540,1000000,patients (2021 milestone),"Lazard Elaia Capital, ISALT, Merieux Equity Partners, Vitruvian Partners, Naxicap Partners, Straumann","Align Technology, Straumann Group, Grin",,Straumann,"FDA De Novo SaMD, 470+ patents, smartphone intraoral scanning","Philippe Salah, Armelle Coquart, Emmanuel Salah","DentalMonitoring is a Paris-based HealthTech company co-founded by Philippe Salah (CEO), Armelle Coquart and Emmanuel Salah. Tracxn dates founding to 2014. In 2021 a USD 150 million round with Mérieux Equity Partners and Vitruvian Partners made it a dental unicorn (over USD 1 billion). On 10 February 2026 Lazard Elaia Capital and ISALT announced a combined USD 100 million investment; ISALT described the French amount as about EUR 85 million. The company said it reached operational profitability in 2025.
The product is AI software-as-a-medical-device for remote orthodontic monitoring: patients scan their teeth with a smartphone; clinicians review AI-flagged clinical situations. ISALT noted FDA De Novo certification and more than 470 patents.
Business model is B2B SaaS to orthodontic and dental practices, appliance-agnostic. Existing DB funds_raised 370 already exceeded Tracxn's USD 301 million sum of four listed rounds; 370 is retained pending a full round table. Capitalization 1200 is the existing DB figure (last primary unicorn mark was USD 1B in 2021).
Provenance: class HealthTech enrichment, September 2026.",https://lazardelaiacapital.com/dentalmonitoring-secures-100m-investment-led-by-lazard-elaia-capital-to-power-the-future-of-orthodontic-care-with-ai/ | https://www.isalt-gestion.com/en/2026/02/10/isalt-through-its-fonds-strategique-des-transitions-announces-a-new-investment-in-dentalmonitoring/ | https://www.dentalmonitoring.com | https://tracxn.com/d/companies/dentalmonitoring/__6MRFZMpmrHrH05hdw5qrrvm7j84Rv2D-R8P-HFvATnk,"founded_year: existing DB 2017 vs Tracxn/press 2014 — 2014 used (Tracxn + Salah bio). 2026 round is USD 100M in English press vs EUR 85M in ISALT French note; both recorded in notes, funds_raised not automatically increased because 370 already in DB. revenue 20 and employees 540 kept from DB. | Straumann was both 2018 investor and industry partner. 1 million patients cited in founder bio for 2021 — stale community figure. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, AI model."
K Health,"K Health, Inc.",73,existing:73,enrich,,none,Single match id 73. Former name Kang Health not in DB as a separate row.,https://khealth.com,https://www.google.com/s2/favicons?sz=128&domain=khealth.com,United States,New York,2016,"HealthTech, AI model",Private company,Active,900.0,446.0,52.0,,413,,,"Mangrove Capital Partners, Atreides Management, Valor Equity Partners, Claure Group, Cedars-Sinai, Pablo Legorreta","Teladoc Health, Ada Health, Babylon Health, Hippocratic AI",,"UnitedHealthcare, Mayo Clinic Health System, Cedars-Sinai, Mass General Brigham","PatientGPT, virtual primary care, health-system clinical infrastructure","Allon Bloch, Adam Singolda, Israel Roth, Ran Shaul","K Health (formerly Kang Health) was founded in 2016 by Allon Bloch, Adam Singolda, Israel Roth and Ran Shaul. It is based in New York (387 Park Avenue South). CB Insights lists a July 2024 Series F-II that valued the company at USD 900 million, with investors including Claure Group, Atreides Management, Mangrove Capital Partners, Pablo Legorreta and Valor Equity Partners. An SEC Form D filed 19 August 2026 reported USD 58.95 million sold of a USD 68.95 million Rule 506(b) offering (Series G in aggregator labels).
K Health provides AI-enabled virtual primary care and clinical infrastructure used by health systems and insurers (existing DB partnerships include UnitedHealthcare, Mayo Clinic Health System, Cedars-Sinai and Mass General Brigham).
It sells to consumers via app and to health systems/payers. CB Insights cites USD 52 million revenue for FY 2022 (kept). PitchBook listed about 413 employees as of 2025. Total raised about USD 446 million after adding the 2026 Form D amount to prior CB Insights totals.
Provenance: class HealthTech enrichment, September 2026.",https://www.cbinsights.com/company/kang-health/financials | https://khealth.com | https://app.edgar.tools/news/90cebe8ccfd51e36 | https://pitchbook.com/profiles/company/168227-92,"capitalization 900 is July 2024 CB Insights valuation; Series G 2026 valuation not disclosed. funds_raised 446 = CB Insights 445.9 rounded after the August 2026 Form D. employees 413 is PitchBook 2025. revenue 52 is FY2022, stale. | Partnerships copied from existing DB field strategic_partnerships (already present on id 73). | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, AI model, MedTech."
Nabla,Nabla,1841,existing:1841,enrich,,none,"Single match id 1841. Do not merge NABU, NABOO, nara GmbH (unrelated). No Nabla Bio row.",https://www.nabla.com,https://www.google.com/s2/favicons?sz=128&domain=nabla.com,France,Paris,2018,"HealthTech, AI model",Private company,Active,,120.0,15.0,,175,85000,clinicians,"HV Capital, Highland Europe, DST Global, Cathay Innovation, Build Collective","Abridge, Ambience Healthcare, Microsoft, Suki AI, Heidi Health",,APHP,"ambient clinical assistant, multi-EHR deployment","Alexandre Lebrun, Delphine Groll, Martin Raison","Nabla was co-founded in Paris in 2018 by Alexandre Lebrun (CEO, formerly Facebook AI Research / Wit.ai), Delphine Groll (COO) and Martin Raison (CTO). It also has a New York office. On 17 June 2025 Nabla announced a USD 70 million Series C led by HV Capital, with Highland Europe, DST Global, Cathay Innovation and Tony Fadell's Build Collective, bringing total funding to USD 120 million.
Nabla sells an ambient AI assistant that drafts clinical notes from consultations and is expanding into agentic clinical workflows. The company said more than 130 healthcare organizations had deployed the product, with about 90 percent of revenue from the United States (Sifted).
Series C valuation was not disclosed. SiliconANGLE noted the January 2024 Series B (USD 24 million) had been associated with about USD 180 million; that older figure is not written as current capitalization. Existing DB revenue 15 and employees 175 are retained.
Provenance: class HealthTech enrichment, September 2026.",https://nabla.com/press-release/nabla-raises-70m-series-c-to-deliver-agentic-ai-to-the-heart-of-clinical-workflows-bringing-total-funding-to-120m | https://sifted.eu/articles/nabla-raises-70m-series-c | https://siliconangle.com/2025/06/17/clinical-ai-startup-nabla-focus-agentic-automation-raising-70m-funding/ | https://www.nasdaq.com/articles/nabla-lands-70m-build-ai-agents-healthcare-settings,"capitalization left empty: not disclosed at Series C. Do not copy Abridge's 5.3B. funds_raised 120 from official PR. revenue 15 and employees 175 from existing DB, not re-verified. | Nasdaq/company Series C coverage: 85,000 clinicians; 90% of revenue from the US (Sifted). APHP partnership already in DB."
Diabeloop,Diabeloop,1975,existing:1975,enrich,,none,Single match id 1975.,https://www.diabeloop.com,https://www.google.com/s2/favicons?sz=128&domain=diabeloop.com,France,Grenoble,2015,"MedTech, AI model",Private company,Active,,141.0,6.0,-14.0,85,,,"Supernova Invest, Kreaxi, Innovacom, Odyssée Venture, Terumo, AGIR à dom, Air Liquide Venture Capital, European Innovation Council Fund","Medtronic, Tandem Diabetes Care, Insulet",,"Terumo, ViCentra, SOOIL, Dexcom, Mediq, CEA-Leti","DBLG1, DBLG2 FDA-cleared hybrid closed loop","Guillaume Charpentier, Erik Huneker","Diabeloop is a Grenoble medtech company founded in 2015 by diabetologist Dr Guillaume Charpentier (CERITD) and Erik Huneker, with a joint research lab at CEA-Leti. It develops AI algorithms that automate insulin delivery for type 1 diabetes (DBLG1 and DBLG2 hybrid closed-loop systems) used with partner pumps and CGM sensors. A company CEO letter on diabeloop.com reviewed 2025: FDA clearance of DBLG2, commercial configurations with Kaleido and Dana-i pumps in Europe, and a Terumo collaboration for Japan.
The product is regulated software that personalizes insulin dosing; it is distributed with pump partners (ViCentra, SOOIL, Dexcom, Mediq) rather than as a standalone consumer app.
CB Insights lists about USD 140.6 million raised (Series C-II latest labeled round). Caplight lists Grenoble HQ and website diabeloop.com. Existing DB capitalization of 200 is not reused: a secondary aggregator (Premier Alternatives) showed ~USD 57 million as of March 2025, so capitalization is left empty rather than guessed.
Provenance: class HealthTech enrichment, September 2026.",https://www.diabeloop.com | https://www.diabeloop.com/news/company/our-ceos-reflection-on-diabeloops-2025-and-looking-ahead-to-2026-for-advancing-diabetes-care-together | https://www.cbinsights.com/company/diabeloop | https://www.caplight.com/company/diabeloop | https://www.diabeloop.fr/entreprise,"Website was missing in DB; official site is diabeloop.com. HQ Grenoble from CB Insights/Caplight. capitalization emptied vs DB 200 because sources conflict (57 vs 200) and neither is a 2025-2026 primary round disclosure. founders Guillaume Charpentier and Erik Huneker from diabeloop.fr/entreprise (official company page). Current CEO is François Miceli. revenue 6 and profit -14 kept from DB. | Pump/CGM partners from 2025 CEO letter on diabeloop.com. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, MedTech."
OpenEvidence,OpenEvidence,79,existing:79,enrich,,none,"Single match id 79. Drop MedTech as a primary label if agent rewrites sector — product is clinical search, not a device; left Education+HealthTech.",https://www.openevidence.com,https://www.google.com/s2/favicons?sz=128&domain=openevidence.com,United States,Miami,2021,"HealthTech, Education",Private company,Active,12000.0,700.0,,,129,757000,verified physicians,"Thrive Capital, DST Global, Sequoia Capital, Google Ventures, Kleiner Perkins, Nvidia, Coatue, Conviction, ICONIQ, Mayo Clinic","UpToDate, OpenAI, Hippocratic AI",,"NEJM Group, JAMA Network, American Medical Association, NCCN, American College of Cardiology, Mayo Clinic","licensed journal corpus, physician-verified access, HIPAA BAA","Daniel Nadler, Zachary Ziegler","OpenEvidence was founded in 2021 by Daniel Nadler (after selling Kensho) and Zachary Ziegler. CNBC reported in February 2025 that Nadler self-funded the company before a Sequoia-led round of about USD 75 million at a USD 1 billion valuation, with a content partnership with NEJM Group. Fierce Healthcare reported a USD 250 million Series D (January 2026) co-led by Thrive Capital and DST Global at a USD 12 billion valuation, after a Series C at USD 6 billion in October 2025. The company said total capital raised was roughly USD 700 million over the prior twelve months.
OpenEvidence is an AI medical search / copilot for verified physicians, trained on licensed journal content (NEJM, JAMA Network, AMA and others) rather than the open web. The Series D announcement said more than 40 percent of U.S. physicians use it across 10,000-plus hospitals, with about 18 million clinical consultations in December of the prior year.
The product is free for verified medical professionals; the company has not published a detailed paid enterprise price list on pages consulted. Tracxn listed about 129 employees as of July 2026 and Miami as location.
Provenance: class HealthTech enrichment, September 2026.",https://www.cnbc.com/2025/02/19/ai-startup-openevidence-secures-sequoia-funding-1-billion-valuation.html | https://www.fiercehealthcare.com/ai-and-machine-learning/openevidence-clinches-250m-series-d-rapidly-growing-its-reach-doctors | https://www.morningstar.com/news/business-wire/20260121029132/openevidence-raises-250-million-to-build-medical-superintelligence-for-doctors | https://www.openevidence.com | https://www.bostonglobe.com/2025/10/21/business/openevidence-headquarters-miami-boston-cambridge/ | https://www.cnbc.com/2026/05/19/openevidence-cnbc-disruptor-50-ranking.html,"capitalization 12000 and funds_raised 700 from January 2026 Series D company/Fierce/Business Wire. Tracxn also showed a USD 6B mark as of October 2025 — superseded by Series D. headquarter_city Miami from Tracxn, not from CNBC (which did not stress HQ). employees 129 is Tracxn. Sector Education dropped as primary: HealthTech is the focus; Education kept only if ontology needs a second label — kept HealthTech, Education as in DB. | Boston Globe 21 Oct 2025: HQ moved Cambridge MA -> Miami. CNBC Disruptor 50 May 2026: 40% of US doctors daily, 10,000 medical centers, funding listed USD 795.4M (official Series D text said ~700 — 700 kept as conservative official; 795.4 noted). community 757k verified physicians from secondary 2026 write-up citing Nadler/CNBC."
