id,name,sector,country,founded_year,is_validated,description,website,capitalization,capitalization_millions,headquarter_city,main_investors,funds_raised
1752,2CRSI,,,,0,,,0,0.0,,,
1750,5C,,,,0,,,0,0.0,,,
288,AGVOLUTION,"ICT, Energy & Utilities, Operations",Germany,,0,"We are fighting for the climate-smart revolution of agriculture- ""the AGVOLUTION"" Our objective is the global development, manufacture and sale of our bio-physical AI-intelligence based on an energy self-sufficient IoT wireless sensor network as well as satellite, ground and machine data. It offers customer specific decision support for long-term sustainability of agriculture and for a higher profitability. AGVOLUTION turns Climate-Smart-Agriculture (CSA) from a political agenda into real world healthy food production.",https://agvolution.com/,0,0.0,,,
290,AI Medical Technology,"ICT, Health & Social Care",Sweden,,0,AI powered skin cancer dignostic medical device,https://www.aimedtech.org,0,0.0,,,
291,AI Superior GmbH,ICT,Germany,,0,AI Superior is a German-based AI software development company focusing on end-to-end AI-based application development.,https://aisuperior.com/,0,0.0,,,
292,AI Supervision,"Manufacturing, Operations",Germany,,0,"We make a platform to track, manage and improve production in factories with many workers. We automate what the best supervisors would do if they watched everything that’s happening inside your factory.",https://www.aisupervision.com/,0,0.0,,,
293,AI-BOB,Construction,Sweden,,0,"We help property developers automate quality control to comply with building regulations - reducing building errors, waste and architect time.",https://aibob.io/,0,0.0,,,
296,AI-UI,"Cross Industry, ICT, Operations",Germany,,0,"AI solutions provider ensuring data sovereignty and security, offering custom AI integrations across industries",https://ai-ui.ai/,0,0.0,,,
1812,AI2 (selon sources publiques),,,,0,,,0,0.0,,,
102,AI21 Labs,ICT,Israel,,0,"AI21 Labs is an Israeli company specializing in Natural Language Processing (NLP), which develops AI systems that can understand and generate natural language.",https://www.ai21.com/,0,0.0,Tel Aviv,,
186,AIAI Holdings Corporation,ICT,United States,,0,,,470,470.0,,,
298,AICURA medical,"ICT, Health & Social Care",Germany,,0,Aicura Medical provides a clinical decision support tool for healthcare professionals. The company offers a software algorithm platform to optimize diagnosis and treatments by integrating into the patient medical records.,https://aicura-medical.com/,0,0.0,,,
300,AIDY Health,ICT,Germany,,0,"At AIDY Health, our Health Assistance products help those who experience health issues reduce their waiting time for support, and increase their access to care through our AI-powered ""Assistant"" and Ambient Home Health Monitoring ""Sensing & Companion"".",https://aidy.health/,0,0.0,,,
303,AIIM,"ICT, Transport & Mobility",Netherlands,,0,AIIM bridges the gap between manual driving and autonomous driving in logistics markets with software solutions in the scope of natural navigation and natural material handling.,https://www.aiim.ai,0,0.0,,,
306,AIManager360,"Cross Industry, ICT, Operations",Germany,,0,"AI Manager 360 makes a diagnosis of your company's AI needs and suggests the ideal AI tools for your business. It helps you identify, select and manage AI optimisation opportunities efficiently, simplifying and quantifying its integration into your operations.",https://www.aimanager360.com/,0,0.0,,,
318,AITAD,"Hardware, ICT, Manufacturing",Germany,,0,"AITAD GmbH is AI champion as well as ""embedded award"" winner 2023 as full-stack supplier of autonomous embedded AI solutions - whether in a car that detects a heart attack in the driver's face, in a production machine that listens to speech, ... The smallest sensors with AI locally on chip ensure that large amounts of data are captured immediately and processed without a server/Internet.",https://aitad.de/,0,0.0,,,
