competitor,frequency,source_company,sector_labels,status
N/A,32,SenseTime,ICT,existing
OpenAI,30,Anthropic,"Hardware, ICT",existing
Microsoft,21,Cerebras,"Hardware, GPU",existing
Anthropic,17,Mistral AI,"AI model, ICT",existing
Tesla,17,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
Meta,15,Mistral AI,"AI model, ICT",existing
Nvidia,15,Cerebras,"Hardware, GPU",existing
Alibaba,13,Anthropic,"Hardware, ICT",existing
Amazon,13,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
Apple,13,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
Google Cloud,13,Cerebras,"Hardware, GPU",existing
Anduril Industries,12,BigBear.ai,Defence,existing
Google,12,Microsoft,"Cloud Provider, AI model, Professional Services",existing
EliseAI,11,Assort Health,"Real Estate Activities, Health & Social Care, Chatbot",existing
IBM,11,AWS,"Hardware, ICT",existing
Runway,11,MiniMax,"AI model, Image generation",existing
Samsung Electronics,10,Qualcomm,Hardware,existing
AWS,9,Groq,"AI model, Inference",existing
Crusoe,9,Nscale,"Cloud Provider, neocloud",existing
Job&Talent,9,Adecco,ICT,existing
Palantir,9,IBM,"AI model, Cloud Provider, Professional Services",existing
Qualcomm,9,Broadcom,"Hardware, ICT, Manufacturing & Operations",existing
Semrush,9,Ahrefs,"Data, Sales & Marketing",existing
20face,8,BioID,"Health & Social Care, IT & Security",existing
Baidu,8,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
Cisco,8,Dynatrace,Saas,existing
DeepMind,8,Mistral AI,"AI model, ICT",existing
Deepmind,8,Anthropic,"Hardware, ICT",existing
Doctolib,8,Docplanner,Health & Social Care,existing
Intel,8,Cerebras,"Hardware, GPU",existing
Microsoft Azure,8,AWS,"Hardware, ICT",existing
SAP,8,IBM,"AI model, Cloud Provider, Professional Services",existing
SoundHound AI,8,Vapi,"AI model, Voice",existing
Waymo,8,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Adobe,7,"Midjourney, Inc.","AI model, Computer Vision",existing
Guard Technology,7,CrowdStrike,"IT & Security, Cyber",existing
Lawx,7,Harvey AI,"Professional Services, LawTech",existing
Microchip Technology Inc,7,Analog Devices,"Hardware, ICT",existing
MiniMax,7,OpenAI,ICT,existing
PhotoRoom,7,Firefly,"Media & Entertainment, Image generation",existing
Scale AI,7,Innodata,"Data, Annotation",existing
UiPath,7,H Company,"AI model, Agentic",existing
AMD,6,Cerebras,"Hardware, GPU",existing
Amberscript,6,GoTranscript,AI model,existing
Aurora Innovation,6,Pony AI,Transport & Mobility,existing
ByteDance,6,Black Forest Labs,"AI model, Computer Vision, Image generation",existing
