id,enterprise,before_main_competitors,after_main_competitors,replacements
1,Cerebras,"Nvidia, AMD, Intel, Google (TPU). AWS, Microsoft(Azure), Google Cloud, CoreWeave","Nvidia, AMD, Intel, Google Cloud, Microsoft(Azure), Google Cloud, CoreWeave",Google (TPU). AWS -> Google Cloud (parenthetical cloud hint)
3,Mistral AI,"OpenAI, Cohere, Anthropic, Google, Meta, Aleph Alpha, H company, Poolside, DeepL, Helsing, Black Forest Labs","OpenAI, Cohere, Anthropic, DeepMind, Meta, Aleph Alpha, H company, Poolside, DeepL, Helsing, Black Forest Labs",Google -> DeepMind (peer list indicates ai-model competitors)
15,IBM,"Microsoft, Oracle, Google, SAP, Accenture, Capgemini, Infosy, Cognizant, Tata, OpenIA, Palantir,","Microsoft, Oracle, Google Cloud, SAP, Accenture, Capgemini, Infosy, Cognizant, Tata, OpenIA, Palantir",Google -> Google Cloud (peer list indicates cloud competitors)
20,Cohere,"Anthropic, Mistral, OpenAI, Meta, Google(Deemind),","Anthropic, Mistral, OpenAI, Meta, DeepMind",Google(Deemind) -> DeepMind (explicit deepmind mention)
105,Sakana AI,"OpenAI, Anthropic, Google DeepMind, Mistral AI, Ineffable Intelligence, Cognition AI, Poolside, Hugging Face, Cohere","OpenAI, Anthropic, DeepMind, Mistral AI, Ineffable Intelligence, Cognition AI, Poolside, Hugging Face, Cohere",Google DeepMind -> DeepMind (explicit deepmind mention)
114,ARM Holdings,"Intel, AMD, Meta, Google, Qualcomm","Intel, AMD, Meta, DeepMind, Qualcomm",Google -> DeepMind (peer list indicates ai-model competitors)
157,World Labs,"AMI Labs, Google DeepMind, Odyssey","AMI Labs, DeepMind, Odyssey",Google DeepMind -> DeepMind (explicit deepmind mention)
160,Tesla,"BYD, Volkswagen Group, BMW, Hyundai-Kia, Toyota, Rivian, Lucid Motors, Nio, Xiaomi, Google(Waymo), Baidu, Xpeng, Mobileye , Nvidia","BYD, Volkswagen Group, BMW, Hyundai-Kia, Toyota, Rivian, Lucid Motors, Nio, Xiaomi, Waymo, Baidu, Xpeng, Mobileye, Nvidia",Google(Waymo) -> Waymo (explicit subsidiary mention)
161,Oracle,"Amazon, Google, Microsoft, SAP, Saleforce","Amazon, Google Cloud, Microsoft, SAP, Saleforce",Google -> Google Cloud (peer list indicates cloud competitors)
184,WhiteFiber,"CoreWeave, Lambda Labs, Voltage Park, IREN Cloud, Equinix DataBank, Google Compute Engine, Microsoft Azure, AWS(AWS)","CoreWeave, Lambda Labs, Voltage Park, IREN Cloud, Equinix DataBank, Google Cloud, Microsoft Azure, AWS(AWS)",Google Compute Engine -> Google Cloud (explicit cloud mention)
228,Ineffable Intelligence,"Google(DeepMind), Recursive Superintelligence, AMI Labs","DeepMind, Recursive Superintelligence, AMI Labs",Google(DeepMind) -> DeepMind (explicit deepmind mention)
1568,Snowflake,"Databricks, Google BigQuery, Amazon Redshift","Databricks, Google Cloud, Amazon Redshift",Google BigQuery -> Google Cloud (explicit cloud mention)
1573,ByteDance,"Meta, YouTube, Tencent, OpenAI, Google(DeepMind)","Meta, YouTube, Tencent, OpenAI, DeepMind",Google(DeepMind) -> DeepMind (explicit deepmind mention)
1836,PolyAI,"Bland AI, Vapi, Retell AI, Parloa, IBM(watsonx), Google Cloud(Contact Center AI)","Bland AI, Vapi, Retell AI, Parloa, IBM(watsonx), Google Cloud",Google Cloud(Contact Center AI) -> Google Cloud (explicit cloud mention)
1922,AMI labs,"Ineffable Intelligence, Thinking Machines Lab, OpenAI , Google(DeepMind), meta(OpenAI & Google DeepMind)","Ineffable Intelligence, Thinking Machines Lab, OpenAI, DeepMind, DeepMind",Google(DeepMind) -> DeepMind (explicit deepmind mention); meta(OpenAI & Google DeepMind) -> DeepMind (explicit deepmind mention)
